Surname Name Avg
Surname1 Name1 2.44
Surname3 Name3 2.14
Surname10 Name10 2.14
Surname11 Name11 4.30
Surname13 Name13 1.78
Surname15 Name15 3.66
Surname18 Name18 2.64
Surname19 Name19 2.68
Surname20 Name20 3.20
Surname21 Name21 4.82
Surname30 Name30 4.32
Surname32 Name32 3.82
Surname34 Name34 4.26
Surname35 Name35 2.14
Surname37 Name37 2.96
Surname41 Name41 2.66
Surname42 Name42 4.54
Surname44 Name44 3.08
Surname45 Name45 4.64
Surname48 Name48 4.82
Surname49 Name49 1.96
Surname52 Name52 3.66
Surname53 Name53 3.62
Surname54 Name54 2.02
Surname56 Name56 4.00
Surname57 Name57 3.20
Surname61 Name61 3.08
Surname63 Name63 3.20
Surname64 Name64 4.88
Surname66 Name66 2.50
Surname67 Name67 2.02
Surname68 Name68 3.36
Surname69 Name69 4.54
Surname70 Name70 2.20
Surname73 Name73 2.32
Surname77 Name77 4.96
Surname78 Name78 3.72
Surname80 Name80 3.26
Surname81 Name81 4.88
Surname88 Name88 2.62
Surname91 Name91 4.24
Surname94 Name94 4.06
Surname98 Name98 4.64
Surname102 Name102 4.26
Surname104 Name104 3.38
Surname110 Name110 2.84
Surname117 Name117 3.68
Surname123 Name123 3.68
Surname132 Name132 3.96
Surname134 Name134 2.84
Surname135 Name135 1.66
Surname136 Name136 3.78
Surname137 Name137 4.24
Surname140 Name140 4.92
Surname141 Name141 2.66
Surname143 Name143 2.96
Surname145 Name145 4.38
Surname146 Name146 4.18
Surname149 Name149 3.14
Surname151 Name151 2.68
Surname152 Name152 4.72
Surname154 Name154 2.86
Surname156 Name156 2.74
Surname157 Name157 3.14
Surname159 Name159 4.12
Surname160 Name160 2.86
Surname162 Name162 3.12
Surname164 Name164 4.94
Surname166 Name166 2.68
Surname167 Name167 3.14
Surname168 Name168 4.44
Surname169 Name169 3.90
Surname170 Name170 4.44
Surname172 Name172 4.78
Surname176 Name176 4.36
Surname178 Name178 2.94
Surname181 Name181 3.26
Surname183 Name183 2.60
Surname185 Name185 3.66
Surname187 Name187 3.30
Surname191 Name191 3.78
Surname192 Name192 2.26
Surname193 Name193 4.72
Surname195 Name195 3.48
Surname196 Name196 4.12
Surname200 Name200 3.88
Surname202 Name202 4.88
Surname209 Name209 4.12
Surname210 Name210 4.14
Surname212 Name212 4.02
Surname214 Name214 4.94
Surname220 Name220 4.54
Surname222 Name222 4.90
Surname223 Name223 4.60
Surname226 Name226 4.96
Surname230 Name230 3.78
Surname231 Name231 2.26
Surname232 Name232 3.26
Surname233 Name233 3.44
Surname235 Name235 4.44
Surname236 Name236 4.00
Surname241 Name241 4.88
Surname243 Name243 4.12
Surname247 Name247 1.60
Surname248 Name248 2.30
Surname252 Name252 2.44
Surname253 Name253 4.30
Surname255 Name255 4.90
Surname257 Name257 3.88
Surname258 Name258 3.14
Surname259 Name259 4.70
Surname260 Name260 4.08
Surname262 Name262 3.96
Surname264 Name264 2.72
Surname266 Name266 2.62
Surname267 Name267 4.70
Surname269 Name269 4.24
Surname272 Name272 4.90
Surname280 Name280 3.72
Surname283 Name283 3.96
Surname284 Name284 4.12
Surname285 Name285 3.56
Surname286 Name286 2.14
Surname290 Name290 2.60
Surname291 Name291 2.80
Surname293 Name293 3.76
Surname295 Name295 3.32
Surname296 Name296 2.38
Surname297 Name297 4.26
Surname299 Name299 3.82
Surname302 Name302 2.92
Surname303 Name303 3.66
Surname306 Name306 4.64
Surname307 Name307 3.72
Surname309 Name309 2.96
Surname311 Name311 1.96
Surname312 Name312 2.42
Surname316 Name316 4.16
Surname317 Name317 4.18
Surname318 Name318 2.56
Surname320 Name320 4.48
Surname321 Name321 3.44
Surname322 Name322 3.54
Surname323 Name323 2.38
Surname324 Name324 1.54
Surname325 Name325 4.54
Surname326 Name326 4.54
Surname337 Name337 2.96
Surname340 Name340 3.08
Surname341 Name341 2.86
Surname342 Name342 1.90
Surname343 Name343 4.24
Surname345 Name345 3.08
Surname347 Name347 2.44
Surname349 Name349 4.18
Surname351 Name351 4.54
Surname352 Name352 3.70
Surname354 Name354 4.18
Surname361 Name361 3.50
Surname368 Name368 4.14
Surname369 Name369 2.26
Surname373 Name373 4.36
Surname377 Name377 4.30
Surname378 Name378 3.14
Surname381 Name381 4.48
Surname384 Name384 4.12
Surname386 Name386 4.90
Surname387 Name387 2.18
Surname388 Name388 1.96
Surname391 Name391 4.82
Surname392 Name392 2.84
Surname396 Name396 2.20
Surname399 Name399 3.02
Surname400 Name400 4.48
Surname401 Name401 3.94
Surname405 Name405 3.84
Surname408 Name408 4.18
Surname410 Name410 4.94
Surname411 Name411 3.20
Surname413 Name413 4.58
Surname414 Name414 3.44
Surname415 Name415 3.02
Surname418 Name418 3.14
Surname420 Name420 2.08
Surname425 Name425 4.60
Surname426 Name426 2.90
Surname433 Name433 3.96
Surname434 Name434 2.84
Surname435 Name435 2.98
Surname436 Name436 1.96
Surname442 Name442 4.06
Surname446 Name446 1.90
Surname447 Name447 2.42
Surname448 Name448 1.78
Surname449 Name449 2.62
Surname454 Name454 4.08
Surname456 Name456 2.78
Surname457 Name457 2.60
Surname459 Name459 4.48
Surname462 Name462 4.76
Surname472 Name472 1.90
Surname474 Name474 4.12
Surname476 Name476 3.96
Surname478 Name478 4.24
Surname481 Name481 3.78
Surname482 Name482 4.94
Surname485 Name485 2.48
Surname493 Name493 3.46
Surname495 Name495 4.08
Surname497 Name497 4.58
Surname498 Name498 4.24
Surname500 Name500 2.26
Surname504 Name504 3.02
Surname506 Name506 3.54
Surname507 Name507 3.06
Surname509 Name509 4.42
Surname510 Name510 3.90
Surname513 Name513 4.36
Surname514 Name514 4.12
Surname516 Name516 4.90
Surname518 Name518 4.96
Surname519 Name519 1.18
Surname521 Name521 2.26
Surname525 Name525 4.48
Surname526 Name526 3.54
Surname529 Name529 3.08
Surname531 Name531 4.30
Surname534 Name534 1.96
Surname536 Name536 2.66
Surname537 Name537 4.30
Surname538 Name538 3.44
Surname539 Name539 4.30
Surname540 Name540 4.88
Surname541 Name541 4.38
Surname544 Name544 3.76
Surname550 Name550 4.88
Surname551 Name551 4.90
Surname552 Name552 4.36
Surname556 Name556 4.06
Surname558 Name558 2.92
Surname565 Name565 1.90
Surname567 Name567 4.76
Surname568 Name568 3.48
Surname569 Name569 3.22
Surname573 Name573 4.30
Surname576 Name576 4.42
Surname577 Name577 2.38
Surname581 Name581 3.60
Surname586 Name586 3.08
Surname587 Name587 2.54
Surname588 Name588 4.24
Surname591 Name591 3.14
Surname598 Name598 4.06
Surname600 Name600 4.48
Surname601 Name601 4.24
Surname605 Name605 3.20
Surname606 Name606 2.20
Surname607 Name607 2.26
Surname610 Name610 3.48
Surname612 Name612 2.08
Surname613 Name613 1.96
Surname614 Name614 3.78
Surname616 Name616 4.30
Surname618 Name618 3.72
Surname619 Name619 3.88
Surname620 Name620 3.38
Surname621 Name621 2.72
Surname624 Name624 4.72
Surname625 Name625 3.48
Surname627 Name627 2.84
Surname629 Name629 4.72
Surname630 Name630 4.54
Surname632 Name632 3.86
Surname635 Name635 3.00
Surname639 Name639 2.66
Surname642 Name642 4.04
Surname647 Name647 1.72
Surname651 Name651 2.12
Surname652 Name652 4.66
Surname654 Name654 2.14
Surname656 Name656 2.60
Surname657 Name657 2.72
Surname659 Name659 3.64
Surname665 Name665 4.82
Surname668 Name668 2.96
Surname671 Name671 2.48
Surname673 Name673 2.50
Surname674 Name674 2.96
Surname675 Name675 4.14
Surname679 Name679 3.82
Surname682 Name682 4.96
Surname683 Name683 4.98
Surname684 Name684 2.74
Surname686 Name686 2.68
Surname694 Name694 4.58
Surname696 Name696 4.52
Surname697 Name697 2.62
Surname702 Name702 3.36
Surname703 Name703 1.54
Surname707 Name707 2.90
Surname709 Name709 4.54
Surname711 Name711 3.76
Surname714 Name714 3.20
Surname716 Name716 4.84
Surname720 Name720 3.24
Surname721 Name721 4.48
Surname722 Name722 2.60
Surname723 Name723 4.90
Surname724 Name724 4.30
Surname725 Name725 2.56
Surname729 Name729 3.42
Surname731 Name731 4.24
Surname737 Name737 4.00
Surname738 Name738 3.78
Surname739 Name739 3.66
Surname740 Name740 3.36
Surname742 Name742 4.24
Surname744 Name744 3.86
Surname745 Name745 2.48
Surname747 Name747 3.24
Surname750 Name750 3.44
Surname751 Name751 4.36
Surname752 Name752 4.14
Surname753 Name753 4.52
Surname756 Name756 2.02
Surname758 Name758 4.30
Surname760 Name760 3.78
Surname761 Name761 4.78
Surname765 Name765 4.82
Surname766 Name766 2.68
Surname768 Name768 4.58
Surname770 Name770 3.38
Surname771 Name771 2.96
Surname774 Name774 3.78
Surname775 Name775 4.96
Surname776 Name776 2.56
Surname777 Name777 4.88
Surname778 Name778 2.86
Surname779 Name779 2.86
Surname784 Name784 4.52
Surname786 Name786 4.00
Surname788 Name788 3.02
Surname791 Name791 3.08
Surname795 Name795 4.12
Surname797 Name797 4.48
Surname798 Name798 3.60
Surname800 Name800 3.60
Surname801 Name801 3.72
Surname802 Name802 2.32
Surname806 Name806 2.96
Surname809 Name809 4.24
Surname810 Name810 4.38
Surname816 Name816 4.84
Surname819 Name819 3.54
Surname820 Name820 3.02
Surname821 Name821 2.50
Surname822 Name822 2.44
Surname824 Name824 4.36
Surname825 Name825 4.30
Surname828 Name828 3.20
Surname830 Name830 4.84
Surname831 Name831 2.60
Surname834 Name834 4.96
Surname837 Name837 3.64
Surname839 Name839 3.54
Surname841 Name841 3.38
Surname842 Name842 3.40
Surname844 Name844 2.42
Surname846 Name846 3.60
Surname847 Name847 2.38
Surname848 Name848 3.26
Surname853 Name853 1.84
Surname855 Name855 3.56
Surname858 Name858 3.78
Surname861 Name861 3.50
Surname864 Name864 3.90
Surname865 Name865 2.02
Surname872 Name872 3.90
Surname877 Name877 2.14
Surname880 Name880 3.66
Surname883 Name883 3.96
Surname890 Name890 3.08
Surname895 Name895 3.66
Surname899 Name899 2.96
Surname903 Name903 2.44
Surname907 Name907 3.30
Surname908 Name908 4.02
Surname909 Name909 3.06
Surname912 Name912 3.66
Surname913 Name913 3.02
Surname916 Name916 3.32
Surname917 Name917 2.44
Surname921 Name921 3.08
Surname922 Name922 4.26
Surname923 Name923 4.24
Surname924 Name924 4.08
Surname925 Name925 3.08
Surname926 Name926 3.62
Surname936 Name936 2.18
Surname937 Name937 2.84
Surname939 Name939 2.90
Surname941 Name941 2.38
Surname942 Name942 2.26
Surname947 Name947 4.42
Surname948 Name948 3.86
Surname949 Name949 4.00
Surname950 Name950 4.30
Surname952 Name952 3.72
Surname954 Name954 2.50
Surname958 Name958 4.78
Surname960 Name960 4.54
Surname963 Name963 2.02
Surname964 Name964 1.72
Surname969 Name969 4.48
Surname972 Name972 4.26
Surname973 Name973 4.66
Surname976 Name976 4.24
Surname977 Name977 4.76
Surname979 Name979 4.48
Surname980 Name980 2.56
Surname981 Name981 2.86
Surname982 Name982 4.86
Surname983 Name983 3.60
Surname992 Name992 3.60
Surname998 Name998 4.94
Surname999 Name999 2.88
Surname1002 Name1002 3.90
Surname1004 Name1004 3.00
Surname1008 Name1008 2.56
Surname1009 Name1009 4.82
Surname1012 Name1012 2.08
Surname1013 Name1013 3.24
Surname1016 Name1016 3.70
Surname1017 Name1017 3.30
Surname1021 Name1021 1.90
Surname1022 Name1022 3.90
Surname1024 Name1024 3.96
Surname1027 Name1027 4.58
Surname1028 Name1028 2.56
Surname1029 Name1029 4.66
Surname1030 Name1030 4.20
Surname1033 Name1033 1.90
Surname1038 Name1038 4.54
Surname1039 Name1039 2.38
Surname1042 Name1042 2.90
Surname1044 Name1044 2.80
Surname1047 Name1047 3.02
Surname1049 Name1049 4.08
Surname1054 Name1054 3.16
Surname1055 Name1055 2.26
Surname1057 Name1057 3.08
Surname1058 Name1058 4.76
Surname1059 Name1059 4.72
Surname1060 Name1060 2.54
Surname1062 Name1062 3.66
Surname1065 Name1065 3.26
Surname1069 Name1069 3.84
Surname1071 Name1071 3.86
Surname1072 Name1072 4.66
Surname1074 Name1074 2.14
Surname1077 Name1077 4.48
Surname1078 Name1078 3.08
Surname1080 Name1080 3.32
Surname1082 Name1082 1.78
Surname1086 Name1086 4.36
Surname1087 Name1087 3.26
