Surname Name Avg
Surname2 Name2 6.52
Surname6 Name6 7.34
Surname7 Name7 6.58
Surname8 Name8 7.94
Surname11 Name11 6.74
Surname15 Name15 5.76
Surname17 Name17 8.98
Surname18 Name18 8.08
Surname21 Name21 5.76
Surname22 Name22 7.38
Surname23 Name23 7.86
Surname25 Name25 5.98
Surname26 Name26 7.22
Surname27 Name27 7.22
Surname30 Name30 7.58
Surname32 Name32 5.82
Surname33 Name33 8.46
Surname34 Name34 8.46
Surname36 Name36 6.68
Surname37 Name37 6.22
Surname38 Name38 6.64
Surname39 Name39 6.52
Surname41 Name41 6.82
Surname44 Name44 5.08
Surname45 Name45 7.68
Surname46 Name46 6.80
Surname50 Name50 5.64
Surname51 Name51 7.82
Surname52 Name52 5.26
Surname54 Name54 7.56
Surname57 Name57 5.52
Surname59 Name59 6.12
Surname60 Name60 7.46
Surname61 Name61 7.98
Surname63 Name63 6.46
Surname64 Name64 7.04
Surname65 Name65 8.44
Surname67 Name67 6.40
Surname69 Name69 7.82
Surname70 Name70 7.92
Surname72 Name72 5.30
Surname73 Name73 7.34
Surname74 Name74 6.98
Surname75 Name75 6.80
Surname76 Name76 7.98
Surname77 Name77 6.06
Surname78 Name78 6.12
Surname79 Name79 7.80
Surname80 Name80 6.56
Surname81 Name81 6.54
Surname82 Name82 6.88
Surname83 Name83 6.12
Surname84 Name84 6.22
Surname86 Name86 6.00
Surname91 Name91 7.50
Surname92 Name92 7.92
Surname95 Name95 5.74
Surname96 Name96 5.12
Surname97 Name97 6.26
Surname100 Name100 6.88
Surname101 Name101 7.98
Surname105 Name105 5.84
Surname107 Name107 5.46
Surname108 Name108 8.44
Surname111 Name111 8.44
Surname112 Name112 5.66
Surname114 Name114 8.98
Surname116 Name116 7.56
Surname117 Name117 5.82
Surname119 Name119 7.16
Surname120 Name120 6.92
Surname121 Name121 5.18
Surname124 Name124 6.00
Surname127 Name127 5.76
Surname130 Name130 7.34
Surname132 Name132 6.54
Surname134 Name134 7.16
Surname135 Name135 8.56
Surname136 Name136 6.70
Surname138 Name138 7.10
Surname139 Name139 8.48
Surname141 Name141 8.32
Surname142 Name142 5.38
Surname143 Name143 8.80
Surname145 Name145 5.20
Surname146 Name146 7.74
Surname147 Name147 6.40
Surname148 Name148 8.14
Surname149 Name149 6.70
Surname151 Name151 5.06
Surname152 Name152 8.80
Surname153 Name153 5.76
Surname154 Name154 8.56
Surname155 Name155 5.76
Surname156 Name156 7.52
Surname157 Name157 7.92
Surname161 Name161 8.04
Surname162 Name162 6.52
Surname164 Name164 5.20
Surname168 Name168 7.64
Surname170 Name170 6.70
Surname171 Name171 7.86
Surname174 Name174 5.06
Surname177 Name177 8.32
Surname178 Name178 5.82
Surname181 Name181 5.88
Surname182 Name182 8.98
Surname184 Name184 6.52
Surname188 Name188 7.92
Surname189 Name189 7.52
Surname190 Name190 7.10
Surname191 Name191 7.80
Surname192 Name192 6.80
Surname194 Name194 6.40
Surname195 Name195 7.32
Surname196 Name196 7.68
Surname198 Name198 7.06
Surname201 Name201 6.06
Surname202 Name202 7.38
Surname205 Name205 7.50
Surname209 Name209 8.22
Surname210 Name210 7.38
Surname212 Name212 7.76
Surname215 Name215 6.88
Surname218 Name218 5.66
Surname219 Name219 5.72
Surname221 Name221 7.82
Surname223 Name223 7.28
Surname224 Name224 6.86
Surname225 Name225 6.76
Surname227 Name227 7.68
Surname228 Name228 6.26
Surname231 Name231 8.64
Surname234 Name234 6.88
Surname238 Name238 7.28
