Surname Name HW1 HW2 HW3 HW4 HW5 Exam
Surname1 Name1 1 8 2 9 7 10
Surname2 Name2 8 9 9 10 4 4
Surname3 Name3 3 7 6 3 5 6
Surname4 Name4 5 1 5 5 10 2
Surname5 Name5 5 4 5 5 4 3
Surname6 Name6 6 6 8 9 4 10
Surname7 Name7 8 7 9 3 8 5
Surname8 Name8 1 6 7 8 6 2
Surname9 Name9 8 9 1 5 6 9
Surname10 Name10 8 6 8 1 4 3
Surname11 Name11 5 3 6 7 5 8
Surname12 Name12 7 5 4 6 5 8
Surname13 Name13 7 3 4 10 5 5
Surname14 Name14 6 8 9 4 8 5
Surname15 Name15 2 1 1 9 2 8
Surname16 Name16 2 8 3 6 9 5
Surname17 Name17 10 5 1 9 1 2
Surname18 Name18 9 2 4 3 8 3
Surname19 Name19 6 8 2 4 5 7
Surname20 Name20 5 1 6 1 5 4
Surname21 Name21 7 9 3 6 5 8
Surname22 Name22 5 2 4 9 1 1
Surname23 Name23 4 8 7 8 6 6
Surname24 Name24 2 9 3 8 3 4
Surname25 Name25 7 9 3 7 2 8
Surname26 Name26 10 9 10 8 2 3
Surname27 Name27 9 4 8 7 9 7
Surname28 Name28 10 7 7 1 10 8
Surname29 Name29 1 7 6 10 10 7
Surname30 Name30 1 10 6 9 9 6
Surname31 Name31 5 9 10 7 10 3
Surname32 Name32 1 7 6 5 10 2
Surname33 Name33 9 5 1 6 9 7
Surname34 Name34 8 7 9 6 6 6
Surname35 Name35 2 10 10 4 7 3
Surname36 Name36 7 10 5 2 2 10
Surname37 Name37 8 4 8 5 10 4
Surname38 Name38 2 7 8 4 2 5
Surname39 Name39 6 5 1 10 2 3
Surname40 Name40 8 10 4 5 5 10
Surname41 Name41 3 8 10 4 8 10
Surname42 Name42 8 7 4 2 9 6
Surname43 Name43 9 3 7 5 4 10
Surname44 Name44 8 9 9 6 9 3
Surname45 Name45 2 8 8 3 5 3
Surname46 Name46 7 4 10 9 2 3
Surname47 Name47 5 9 9 8 7 5
Surname48 Name48 2 5 7 6 1 10
Surname49 Name49 6 3 6 5 7 6
Surname50 Name50 2 8 10 8 3 1
Surname51 Name51 3 5 2 1 6 5
Surname52 Name52 7 1 1 4 1 6
Surname53 Name53 1 1 2 4 5 5
Surname54 Name54 6 7 7 9 7 2
Surname55 Name55 7 3 8 4 8 5
Surname56 Name56 3 8 6 9 6 2
Surname57 Name57 3 1 9 3 10 10
Surname58 Name58 9 3 3 1 4 6
Surname59 Name59 5 8 3 6 2 7
Surname60 Name60 4 4 9 10 4 3
Surname61 Name61 8 3 4 6 1 3
Surname62 Name62 10 2 6 10 1 4
Surname63 Name63 6 4 7 7 10 5
Surname64 Name64 10 7 9 2 9 10
Surname65 Name65 2 8 6 10 5 2
Surname66 Name66 4 3 7 7 6 7
Surname67 Name67 7 3 2 10 1 3
Surname68 Name68 1 5 7 10 1 9
Surname69 Name69 10 7 4 5 1 8
Surname70 Name70 5 6 5 5 5 4
Surname71 Name71 8 10 7 4 7 8
Surname72 Name72 8 9 9 1 1 8
Surname73 Name73 4 10 6 7 2 5
Surname74 Name74 3 3 8 7 1 9
Surname75 Name75 9 10 3 10 2 1
Surname76 Name76 3 3 9 8 3 2
Surname77 Name77 6 8 8 10 2 2
Surname78 Name78 1 10 6 7 1 1
Surname79 Name79 2 8 4 10 2 2
Surname80 Name80 6 1 10 9 5 8
Surname81 Name81 6 9 7 9 8 9
Surname82 Name82 9 6 8 5 2 5
Surname83 Name83 7 4 1 6 7 2
Surname84 Name84 3 3 9 3 8 4
Surname85 Name85 7 3 1 7 2 3
Surname86 Name86 3 8 3 1 5 4
Surname87 Name87 5 3 2 8 8 6
Surname88 Name88 4 7 7 10 4 8
Surname89 Name89 1 10 4 8 6 3
Surname90 Name90 10 4 1 4 2 6
Surname91 Name91 8 2 4 6 3 5
Surname92 Name92 2 6 10 8 2 4
Surname93 Name93 10 6 5 4 9 1
Surname94 Name94 8 7 10 3 6 2
Surname95 Name95 9 5 2 1 2 2
Surname96 Name96 4 2 1 7 10 6
Surname97 Name97 2 9 5 3 9 8
Surname98 Name98 9 4 9 10 9 10
Surname99 Name99 9 6 5 10 6 5
Surname100 Name100 6 5 6 2 7 9
Surname101 Name101 3 2 5 9 5 1
Surname102 Name102 4 4 7 9 2 1
Surname103 Name103 7 5 9 2 5 3
Surname104 Name104 4 9 7 2 3 6
Surname105 Name105 7 4 6 7 1 5
Surname106 Name106 10 10 2 6 1 8
Surname107 Name107 3 10 10 9 7 5
Surname108 Name108 4 10 5 4 4 2
Surname109 Name109 7 4 1 4 9 9
Surname110 Name110 3 2 9 10 2 1
Surname111 Name111 5 8 3 3 9 3
Surname112 Name112 10 1 5 2 9 5
Surname113 Name113 3 6 2 2 9 3
Surname114 Name114 2 4 10 5 1 7
Surname115 Name115 4 7 2 3 4 9
Surname116 Name116 9 4 9 9 4 10
Surname117 Name117 3 1 1 3 4 3
Surname118 Name118 7 5 6 6 2 3
Surname119 Name119 7 1 4 7 8 9
Surname120 Name120 1 1 7 6 9 3
Surname121 Name121 1 7 7 6 4 6
Surname122 Name122 7 4 2 2 10 8
Surname123 Name123 3 10 10 8 8 6
Surname124 Name124 2 9 5 9 7 3
Surname125 Name125 6 3 6 1 9 4
Surname126 Name126 3 7 3 8 2 8
Surname127 Name127 6 2 2 10 10 8
Surname128 Name128 1 6 2 7 4 9
Surname129 Name129 9 4 4 2 5 1
Surname130 Name130 9 3 1 4 10 2
Surname131 Name131 10 7 6 9 9 3
Surname132 Name132 5 5 8 3 2 6
Surname133 Name133 5 2 10 7 8 1
Surname134 Name134 2 10 9 8 3 5
Surname135 Name135 1 2 3 2 10 10
Surname136 Name136 7 2 2 1 1 4
Surname137 Name137 3 3 7 9 2 9
Surname138 Name138 2 6 3 8 8 3
Surname139 Name139 2 2 5 10 3 10
Surname140 Name140 3 3 4 1 9 8
Surname141 Name141 1 3 6 9 6 10
Surname142 Name142 4 5 2 7 5 6
Surname143 Name143 5 3 9 10 6 7
Surname144 Name144 3 3 5 10 1 9
Surname145 Name145 6 8 10 2 8 9
Surname146 Name146 10 2 4 10 8 9
Surname147 Name147 4 3 1 4 4 4
Surname148 Name148 2 6 8 9 5 10
Surname149 Name149 2 4 7 8 9 6
Surname150 Name150 4 1 3 8 4 8
Surname151 Name151 10 2 7 3 7 3
Surname152 Name152 2 6 5 10 6 4
Surname153 Name153 6 9 10 2 9 6
Surname154 Name154 1 7 3 10 1 5
Surname155 Name155 3 2 4 9 6 8
Surname156 Name156 7 7 10 3 4 2
Surname157 Name157 7 9 9 5 7 10
Surname158 Name158 5 2 8 4 3 10
Surname159 Name159 7 3 3 7 7 7
Surname160 Name160 5 1 2 3 1 6
Surname161 Name161 10 4 10 8 4 10
Surname162 Name162 4 3 6 8 5 10
Surname163 Name163 8 7 10 4 6 10
Surname164 Name164 8 10 10 4 2 4
Surname165 Name165 5 1 10 4 8 4
Surname166 Name166 1 5 9 3 6 4
Surname167 Name167 10 7 8 8 10 10
Surname168 Name168 4 9 8 3 10 1
Surname169 Name169 8 2 5 3 6 1
Surname170 Name170 7 7 3 6 4 4
Surname171 Name171 10 1 6 3 8 1
Surname172 Name172 1 5 2 7 4 9
Surname173 Name173 2 10 10 1 10 4
Surname174 Name174 7 3 1 10 7 7
Surname175 Name175 9 8 9 8 7 9
Surname176 Name176 2 5 4 5 8 10
Surname177 Name177 4 2 1 7 2 5
Surname178 Name178 9 1 8 7 2 6
Surname179 Name179 2 6 7 9 9 2
Surname180 Name180 3 1 5 9 5 1
Surname181 Name181 2 4 8 3 6 10
Surname182 Name182 5 7 2 1 7 8
Surname183 Name183 3 10 1 7 1 6
Surname184 Name184 9 2 7 3 7 2
Surname185 Name185 3 3 6 3 3 8
Surname186 Name186 6 5 7 1 6 9
Surname187 Name187 8 7 6 9 2 5
Surname188 Name188 4 2 10 9 6 10
Surname189 Name189 1 7 10 9 1 3
Surname190 Name190 4 9 7 7 1 3
Surname191 Name191 4 3 5 5 5 2
Surname192 Name192 2 3 5 2 9 5
Surname193 Name193 10 10 1 2 10 6
Surname194 Name194 2 4 7 7 2 6
Surname195 Name195 9 7 5 5 7 7
Surname196 Name196 3 2 7 4 6 9
Surname197 Name197 1 10 7 8 8 3
Surname198 Name198 5 10 8 5 10 1
Surname199 Name199 2 3 10 2 5 7
Surname200 Name200 6 8 1 9 6 9
Surname201 Name201 8 7 7 9 10 8
Surname202 Name202 8 7 5 2 2 10
Surname203 Name203 9 5 6 4 2 3
Surname204 Name204 9 4 7 4 3 4
Surname205 Name205 7 1 7 10 8 8
Surname206 Name206 9 2 4 9 1 1
Surname207 Name207 7 7 10 1 7 4
Surname208 Name208 7 1 1 1 3 10
Surname209 Name209 2 3 6 9 1 3
Surname210 Name210 2 4 5 3 2 9
Surname211 Name211 1 9 9 8 4 1
Surname212 Name212 6 1 4 5 8 6
Surname213 Name213 3 9 7 4 7 2
Surname214 Name214 3 7 8 7 8 5
Surname215 Name215 2 10 1 2 8 7
Surname216 Name216 6 4 5 2 10 9
Surname217 Name217 5 10 7 1 5 3
Surname218 Name218 7 7 5 1 7 3
Surname219 Name219 6 9 7 3 10 6
Surname220 Name220 1 4 1 4 6 5
Surname221 Name221 10 4 4 8 9 5
Surname222 Name222 2 1 9 9 9 8
Surname223 Name223 6 3 2 6 1 2
Surname224 Name224 1 2 3 8 7 9
Surname225 Name225 10 4 4 9 1 6
Surname226 Name226 9 1 4 3 1 1
